facility_id,name,type,country,city,address,capacity_units,current_utilization,manager,contact_phone,status,opened_date,last_inspection
FAC-001,Ulsan Plant A,Manufacturing,KR,Ulsan,울산광역시 북구 산업로 123,50000,0.87,김영수,+82-52-123-4567,Operational,2018-03-15,2024-01-15
FAC-002,Pohang Steel Mill,Manufacturing,KR,Pohang,경상북도 포항시 남구 철강로 456,120000,0.92,박철호,+82-54-234-5678,Operational,2015-06-01,2024-02-01
FAC-003,Incheon Distribution Center,Warehouse,KR,Incheon,인천광역시 서구 물류대로 789,80000,0.65,이민정,+82-32-345-6789,Operational,2020-09-10,2024-01-20
FAC-004,Busan Port Terminal,Port,KR,Busan,부산광역시 강서구 항만대로 101,200000,0.78,최항만,+82-51-456-7890,Operational,2012-01-01,2024-02-10
FAC-005,Seoul R&D Center,R&D,KR,Seoul,서울특별시 강남구 테헤란로 512,5000,0.55,정연구,+82-2-567-8901,Operational,2019-11-20,2023-12-15
FAC-006,Gwangju Assembly,Manufacturing,KR,Gwangju,광주광역시 광산구 첨단과기로 234,35000,0.81,김조립,+82-62-678-9012,Operational,2017-04-01,2024-01-25
FAC-007,Cheonan Battery Plant,Manufacturing,KR,Cheonan,충청남도 천안시 서북구 배터리로 567,45000,0.94,박배터리,+82-41-789-0123,Operational,2021-08-15,2024-02-05
FAC-008,Shanghai Warehouse,Warehouse,CN,Shanghai,上海市浦东新区物流路888号,100000,0.71,王物流,+86-21-1234-5678,Operational,2019-03-01,2024-01-10
FAC-009,Nagoya Parts Center,Warehouse,JP,Nagoya,愛知県名古屋市港区物流1-2-3,60000,0.68,田中倉庫,+81-52-123-4567,Operational,2018-07-01,2024-02-08
FAC-010,Detroit Assembly,Manufacturing,US,Detroit,1234 Industrial Blvd, Detroit, MI,40000,0.73,John Miller,+1-313-555-0100,Operational,2016-02-15,2024-01-30
FAC-011,Frankfurt Logistics Hub,Warehouse,DE,Frankfurt,Logistikstraße 45, 60549 Frankfurt,75000,0.62,Hans Weber,+49-69-555-0200,Operational,2020-05-01,2024-02-12
FAC-012,Daegu Component Plant,Manufacturing,KR,Daegu,대구광역시 달서구 성서공단로 345,28000,0.88,김부품,+82-53-890-1234,Operational,2019-01-10,2024-01-18
FAC-013,Gimpo Air Cargo,Port,KR,Gimpo,경기도 김포시 공항로 100,30000,0.45,이항공,+82-31-901-2345,Operational,2021-12-01,2024-02-15
FAC-014,Pyeongtaek Plant B,Manufacturing,KR,Pyeongtaek,경기도 평택시 산단로 678,55000,0.91,박생산,+82-31-012-3456,Operational,2022-06-01,2024-02-18
FAC-015,Yeosu Chemical Plant,Manufacturing,KR,Yeosu,전라남도 여수시 화학산단로 890,65000,0.85,최화학,+82-61-123-4567,Operational,2014-09-01,2024-01-22
