shipment_id,order_id,origin_facility,destination_facility,carrier,tracking_number,ship_date,estimated_arrival,actual_arrival,status,weight_kg,volume_cbm
SHP-2024-0001,ORD-2024-0004,FAC-006,FAC-010,Maersk,MAEU1234567,2024-02-20,2024-03-05,null,In Transit,45000,125
SHP-2024-0002,ORD-2024-0005,FAC-010,FAC-003,CJ Logistics,CJ9876543210,2024-02-25,2024-02-28,2024-02-27,Delivered,12500,45
SHP-2024-0003,ORD-2024-0008,FAC-002,FAC-011,DB Schenker,DB2024021501,2024-02-22,2024-03-08,null,In Transit,85000,280
SHP-2024-0004,ORD-2024-0001,FAC-007,FAC-003,Hanjin,HJ2024020101,2024-02-28,2024-03-02,null,Pending,22000,68
SHP-2024-0005,ORD-2024-0003,FAC-001,FAC-008,COSCO,COSU2024020501,2024-03-01,2024-03-15,null,Pending,35000,95
SHP-2024-0006,ORD-2024-0002,FAC-007,FAC-008,Yang Ming,YMLU2024020301,2024-03-05,2024-03-20,null,Scheduled,18000,52
SHP-2024-0007,ORD-2024-0006,FAC-014,FAC-011,DHL,DHL1234567890,2024-03-10,2024-03-18,null,Scheduled,8500,28
SHP-2024-0008,ORD-2024-0007,FAC-001,FAC-009,Nippon Express,NX2024021401,2024-03-12,2024-03-22,null,Scheduled,15000,42
SHP-2024-0009,ORD-2024-0009,FAC-009,FAC-008,Yamato,YMT2024021601,2024-03-15,2024-03-25,null,Scheduled,12000,38
SHP-2024-0010,ORD-2024-0010,FAC-012,FAC-003,Lotte Global,LGL2024021801,2024-02-28,2024-03-01,null,In Transit,28000,85
