order_id,customer_id,product_id,quantity,unit_price,total_amount,currency,order_date,required_date,status,facility_id,priority
ORD-2024-0001,CUST-006,PRD-001,50000,45000,2250000000,KRW,2024-02-01,2024-03-15,Processing,FAC-007,High
ORD-2024-0002,CUST-007,PRD-002,500,8500000,4250000000,KRW,2024-02-03,2024-03-20,Confirmed,FAC-007,Critical
ORD-2024-0003,CUST-009,PRD-004,100000,125000,12500000000,KRW,2024-02-05,2024-04-01,Processing,FAC-001,High
ORD-2024-0004,CUST-013,PRD-005,2000,2450000,4900000000,KRW,2024-02-08,2024-03-25,Shipped,FAC-006,Normal
ORD-2024-0005,CUST-006,PRD-006,5000,680000,3400000000,KRW,2024-02-10,2024-03-10,Delivered,FAC-010,Normal
ORD-2024-0006,CUST-007,PRD-009,3000,890000,2670000000,KRW,2024-02-12,2024-04-05,Confirmed,FAC-014,High
ORD-2024-0007,CUST-012,PRD-011,8000,450000,3600000000,KRW,2024-02-14,2024-03-28,Processing,FAC-001,Normal
ORD-2024-0008,CUST-010,PRD-003,5000,890000,4450000000,KRW,2024-02-15,2024-03-01,Shipped,FAC-002,High
ORD-2024-0009,CUST-008,PRD-015,10000,580000,5800000000,KRW,2024-02-16,2024-04-10,Confirmed,FAC-009,Normal
ORD-2024-0010,CUST-006,PRD-012,15000,320000,4800000000,KRW,2024-02-18,2024-03-15,Processing,FAC-012,High
ORD-2024-0011,CUST-013,PRD-020,1500,890000,1335000000,KRW,2024-02-19,2024-04-01,Confirmed,FAC-006,Normal
ORD-2024-0012,CUST-007,PRD-018,80000,56000,4480000000,KRW,2024-02-20,2024-03-25,Processing,FAC-007,Critical
ORD-2024-0013,CUST-009,PRD-007,5000000,450,2250000000,KRW,2024-02-20,2024-04-15,Confirmed,FAC-001,Normal
ORD-2024-0014,CUST-006,PRD-010,2500,1250000,3125000000,KRW,2024-02-21,2024-04-05,Pending,FAC-010,High
ORD-2024-0015,CUST-012,PRD-013,4000,680000,2720000000,KRW,2024-02-21,2024-03-30,Pending,FAC-015,Normal
